,x_,y_,z_,timestamp
31,21.0342209139,21.7695254589,19.8229281651,2014-04-01 02:35:00
32,20.1845778819,20.437631668,20.0607478355,2014-04-01 02:40:00
33,20.6059043517,21.1316866118,20.0783571133,2014-04-01 02:45:00
34,20.0667055704,20.6911628379,21.8015485767,2014-04-01 02:50:00
35,21.9674981787,19.9897466141,20.5976018695,2014-04-01 02:55:00
36,18.218486146,20.8735696071,19.1098279796,2014-04-01 03:00:00
37,19.9641792871,21.2964164954,20.1261471878,2014-04-01 03:05:00
38,18.3656661965,18.8989265767,20.5088943316,2014-04-01 03:10:00
39,18.6391422485,19.3445219219,20.5590868841,2014-04-01 03:15:00
40,19.5321534017,18.89490293,20.341016905,2014-04-01 03:20:00
41,18.622160366,19.8086918224,18.7109446185,2014-04-01 03:25:00
42,21.8547486638,21.5402582037,18.1343727563,2014-04-01 03:30:00
43,21.7871591069,19.3808284033,19.3513722095,2014-04-01 03:35:00
44,19.3444385849,19.4978675565,19.7100886182,2014-04-01 03:40:00
45,20.5589908482,21.4414689387,18.2472169583,2014-04-01 03:45:00
46,20.1350132824,20.061497323,21.2598693521,2014-04-01 03:50:00
47,21.2623479221,20.1417959986,19.37630975,2014-04-01 03:55:00
48,20.5097824393,21.4432048133,21.6545309847,2014-04-01 04:00:00
49,18.001009818,19.9621069481,18.6176404314,2014-04-01 04:05:00
50,21.0526975424,20.7262301385,18.2277398277,2014-04-01 04:10:00
51,20.9873924852,18.3425786635,19.9292644175,2014-04-01 04:15:00
52,20.0388908223,18.7145268525,18.7565173473,2014-04-01 04:20:00
53,21.6116758929,19.6175048029,21.7495971023,2014-04-01 04:25:00
54,21.633784822800003,19.9793562713,18.0412135938,2014-04-01 04:30:00
55,20.0956467068,21.8629348049,19.6504787002,2014-04-01 04:35:00
56,20.4319529248,21.8826065322,21.7069910854,2014-04-01 04:40:00
57,21.9860882877,21.4047883499,19.5376728269,2014-04-01 04:45:00
58,19.1952809392,19.2623953411,18.3724371224,2014-04-01 04:50:00
59,19.2984689692,21.8561131633,19.2115797714,2014-04-01 04:55:00
60,18.7310956107,20.7573634587,19.9920415753,2014-04-01 05:00:00
61,21.5834677566,19.571760511300003,18.7406067494,2014-04-01 05:05:00
62,20.9779535598,20.8066996679,19.8662468206,2014-04-01 05:10:00
63,18.4225713955,18.0660909191,21.3453727831,2014-04-01 05:15:00
64,21.9270694048,18.5846187291,21.4904718808,2014-04-01 05:20:00
65,20.9238468326,21.3187428462,18.197042938800003,2014-04-01 05:25:00
66,21.4020884384,20.5822945475,18.6436134322,2014-04-01 05:30:00
67,18.1926031567,19.4567788052,19.1011605431,2014-04-01 05:35:00
68,20.0198436758,20.0026665609,20.3794634036,2014-04-01 05:40:00
69,20.7943931469,21.6205685986,19.4439790352,2014-04-01 05:45:00
70,20.1717863383,20.5263124379,21.376163653800003,2014-04-01 05:50:00
71,20.6665898628,19.5925971357,20.8666874731,2014-04-01 05:55:00
72,21.2714962544,18.4813066296,18.4018240925,2014-04-01 06:00:00
73,19.4973482518,19.174987206500003,20.49823001,2014-04-01 06:05:00
74,21.3946747025,21.9133609312,18.4520505014,2014-04-01 06:10:00
75,18.6516644191,19.7494522514,19.0201426785,2014-04-01 06:15:00
76,19.0835442201,19.8873578554,18.7114825341,2014-04-01 06:20:00
77,18.1733824797,19.9943921296,18.6922477968,2014-04-01 06:25:00
78,19.4577072453,21.5364160918,20.4655820991,2014-04-01 06:30:00
79,19.5196381793,20.4157131375,20.2544196902,2014-04-01 06:35:00
80,21.221082388800003,20.7747081458,18.7041126112,2014-04-01 06:40:00
81,20.6125226812,19.5576541702,21.9606912217,2014-04-01 06:45:00
82,19.7468902326,18.1163504744,19.6873469295,2014-04-01 06:50:00
83,20.6084559145,21.723891657,18.3882773126,2014-04-01 06:55:00
84,18.2111334021,21.7965107237,18.4822760678,2014-04-01 07:00:00
85,18.7210861441,21.796612213400003,20.3355748549,2014-04-01 07:05:00
86,20.507791421,21.7747483466,21.9162776135,2014-04-01 07:10:00
87,20.5654672769,21.2609677643,20.2878044065,2014-04-01 07:15:00
88,21.0965386348,20.7383842005,21.7961659065,2014-04-01 07:20:00
89,19.6119990362,21.3780396731,19.776531403,2014-04-01 07:25:00
90,20.8902163865,20.402184956,19.7433644146,2014-04-01 07:30:00
91,20.7359213302,18.5374784556,20.0000294373,2014-04-01 07:35:00
92,21.8535735135,19.5648726602,20.7897018326,2014-04-01 07:40:00
93,18.8605209057,21.8851796479,19.4704638658,2014-04-01 07:45:00
94,20.206718255,19.4045512544,21.4555441307,2014-04-01 07:50:00
95,20.4070577684,21.4713116549,18.1171255391,2014-04-01 07:55:00
96,21.9945915397,18.3728458831,19.7590567801,2014-04-01 08:00:00
97,18.8047365687,19.3367353695,20.0439673999,2014-04-01 08:05:00
98,20.0928720799,19.4038132989,20.4281289531,2014-04-01 08:10:00
99,19.3847412309,18.2064101724,19.1042876495,2014-04-01 08:15:00
100,20.1035718743,18.4763773207,19.7099198839,2014-04-01 08:20:00
101,18.9285144084,18.7726608445,19.9381510009,2014-04-01 08:25:00
102,18.1904495137,21.3512623632,20.7476399147,2014-04-01 08:30:00
103,20.2902618156,18.2536079598,21.0941767389,2014-04-01 08:35:00
104,19.3434172634,19.1948036054,20.9513093094,2014-04-01 08:40:00
105,18.727765607,18.0407000104,19.3663322092,2014-04-01 08:45:00
106,19.2957422643,20.7825109816,21.997802092,2014-04-01 08:50:00
107,18.1971208058,20.4812123602,21.3946612471,2014-04-01 08:55:00
108,74.1260143836,69.9717587639,64.7363178748,2014-04-01 09:00:00
109,69.10361164359999,66.2916058721,63.85343895720001,2014-04-01 09:05:00
110,72.2808540663,64.0324423692,65.4706890079,2014-04-01 09:10:00
111,66.9544074866,70.9963549007,67.3518900008,2014-04-01 09:15:00
112,73.4850794789,72.23120306930001,72.77087154510001,2014-04-01 09:20:00
113,67.7731278131,63.0849803741,71.7857267876,2014-04-01 09:25:00
114,69.0056563819,67.8208802199,72.7769472797,2014-04-01 09:30:00
115,67.88839812890001,64.5825332749,64.8986167628,2014-04-01 09:35:00
116,71.1725848238,63.4862533124,69.2710726253,2014-04-01 09:40:00
117,68.9065226554,71.1868242635,65.05218724699999,2014-04-01 09:45:00
118,64.8937453607,68.5181183224,62.6827149858,2014-04-01 09:50:00
119,63.179337626000006,64.1401205203,70.5050893113,2014-04-01 09:55:00
120,79.2470505155,74.651200174,72.0593219946,2014-04-01 10:00:00
121,77.4320730032,84.842464979,80.2026692617,2014-04-01 10:05:00
122,71.3295428127,83.0115068443,79.8964060121,2014-04-01 10:10:00
123,75.9799830691,83.4967734494,82.4150558575,2014-04-01 10:15:00
124,77.8293300694,76.9793877467,72.0058874628,2014-04-01 10:20:00
125,82.67338298899999,79.5214887361,81.9996119049,2014-04-01 10:25:00
126,71.0210883865,75.687435328,85.3487716827,2014-04-01 10:30:00
127,75.2486478048,71.0460898627,83.0481788021,2014-04-01 10:35:00
128,82.6076230245,76.06459570140001,81.5081234246,2014-04-01 10:40:00
129,79.90353942109999,79.05858128979999,80.1168063049,2014-04-01 10:45:00
130,74.3401531544,74.2964790823,76.3860486423,2014-04-01 10:50:00
131,82.9596010938,83.0001929198,81.1773626057,2014-04-01 10:55:00
132,79.41334110529999,73.9710969315,83.0853274709,2014-04-01 11:00:00
133,79.4937884794,77.4068210384,81.6113486879,2014-04-01 11:05:00
134,87.0996450426,73.55447171029999,84.2320113284,2014-04-01 11:10:00
135,86.6309408675,78.0064502589,78.7051408815,2014-04-01 11:15:00
136,77.2701037963,72.1987733943,73.4964031338,2014-04-01 11:20:00
137,73.8037704623,75.9026255791,80.4594131399,2014-04-01 11:25:00
138,76.7474037102,77.9412934973,75.78325228060001,2014-04-01 11:30:00
139,72.052805772,79.17274193760001,77.6820239815,2014-04-01 11:35:00
140,71.8982924702,80.2149468852,71.8449666323,2014-04-01 11:40:00
141,77.8583840549,75.94145892819999,77.65590151020001,2014-04-01 11:45:00
142,86.5339792602,79.88644938569999,84.431172792,2014-04-01 11:50:00
143,85.426067155,79.6632095013,80.1994565238,2014-04-01 11:55:00
144,80.08686564029999,76.9663781954,72.0702202608,2014-04-01 12:00:00
145,80.9463697522,85.1808654442,79.4220801225,2014-04-01 12:05:00
146,72.0084220248,80.6333817159,76.5712304907,2014-04-01 12:10:00
147,75.3574808711,77.2235359213,79.54524151380002,2014-04-01 12:15:00
148,72.3095103677,87.0528272939,78.3809134429,2014-04-01 12:20:00
149,83.9717453641,85.4191724508,86.80737351190002,2014-04-01 12:25:00
150,74.2411363371,87.6161392988,72.5716461793,2014-04-01 12:30:00
151,85.8016679353,82.9760511039,82.83788329069999,2014-04-01 12:35:00
152,82.194437192,77.9579046083,85.5136858302,2014-04-01 12:40:00
153,75.5798939857,76.4019781421,87.2429999736,2014-04-01 12:45:00
154,74.4340968432,82.5139497962,74.7523690092,2014-04-01 12:50:00
155,81.94354482050001,87.5878336415,80.40427577930001,2014-04-01 12:55:00
156,86.3926524705,82.0077546958,72.6799858531,2014-04-01 13:00:00
157,83.47372499939999,86.08517365450001,79.9677395265,2014-04-01 13:05:00
158,77.5581280065,77.2471111396,73.98956767359999,2014-04-01 13:10:00
159,81.3786019713,78.4924178171,85.3858492719,2014-04-01 13:15:00
160,76.953713801,86.4796437365,73.8042027809,2014-04-01 13:20:00
161,87.9652763341,84.0896808632,80.1933627389,2014-04-01 13:25:00
162,83.9612714729,87.6815165103,80.318256095,2014-04-01 13:30:00
163,81.81046701060001,84.3759722612,87.525396829,2014-04-01 13:35:00
164,78.7532409691,79.15724901520001,82.4598959788,2014-04-01 13:40:00
165,81.8707829394,80.47776901600001,76.5870593825,2014-04-01 13:45:00
166,77.4472651938,86.3875098999,75.8345842897,2014-04-01 13:50:00
167,72.4444465903,80.80694945409999,74.03419881720001,2014-04-01 13:55:00
168,78.31765692970001,76.0827058414,84.1001985815,2014-04-01 14:00:00
169,86.883522504,78.9661264483,83.0481199978,2014-04-01 14:05:00
170,82.0168805171,80.25720329090001,81.7541096513,2014-04-01 14:10:00
171,73.3397707712,73.543987056,72.6499597217,2014-04-01 14:15:00
172,86.15576213920002,83.8961755783,84.20122000970001,2014-04-01 14:20:00
173,76.2983350936,73.7461229499,82.2662522647,2014-04-01 14:25:00
174,75.89666867439999,78.4749164371,87.4180256231,2014-04-01 14:30:00
175,76.7497713346,84.8698851146,81.3913271068,2014-04-01 14:35:00
176,81.2313364867,79.4773106918,76.85954107149999,2014-04-01 14:40:00
177,80.7111351745,85.4681456476,78.10057982720001,2014-04-01 14:45:00
178,79.8587866682,77.466382588,74.8098602404,2014-04-01 14:50:00
179,83.4765827479,87.3179892393,83.5626157171,2014-04-01 14:55:00
180,77.06386388119998,75.3507715345,83.3227466543,2014-04-01 15:00:00
181,84.51222102,72.6115292425,75.2096782278,2014-04-01 15:05:00
182,74.8044287246,85.9579994831,74.535113627,2014-04-01 15:10:00
183,84.5211212147,84.03443671689999,73.2313759033,2014-04-01 15:15:00
184,82.6201685228,75.7110145604,86.59078061940002,2014-04-01 15:20:00
185,82.930536812,87.7550232579,75.7283903396,2014-04-01 15:25:00
186,79.7040891874,80.0357137181,77.5058723645,2014-04-01 15:30:00
187,82.6712308715,87.2162097587,76.4873378485,2014-04-01 15:35:00
188,73.2760492881,80.07969156979999,78.617238909,2014-04-01 15:40:00
189,85.6239958745,79.5492297084,83.4239799122,2014-04-01 15:45:00
190,72.8880560037,79.1854564066,85.9287052161,2014-04-01 15:50:00
191,74.3791501112,77.3572617813,74.9208607453,2014-04-01 15:55:00
192,81.228479377,80.5390693195,82.9824381733,2014-04-01 16:00:00
193,83.83042233260001,79.2407224487,77.64084520520001,2014-04-01 16:05:00
194,73.2198844471,72.58781065710002,87.68826633100002,2014-04-01 16:10:00
195,86.73207050010002,76.1668174942,76.78255912569999,2014-04-01 16:15:00
196,87.5775542316,75.4098200146,72.11494883520001,2014-04-01 16:20:00
197,81.69504591329998,85.87880474949999,80.25008550390001,2014-04-01 16:25:00
198,79.6997422622,81.5817629983,74.411554478,2014-04-01 16:30:00
199,83.8621585408,84.2187679069,72.7117712222,2014-04-01 16:35:00
200,77.2535693101,87.30904897030001,83.1721480203,2014-04-01 16:40:00
201,79.8920775526,82.3044703355,83.7159877851,2014-04-01 16:45:00
202,86.6582500449,87.7215914367,79.3710318172,2014-04-01 16:50:00
203,87.29031920610001,76.988077009,82.8300092342,2014-04-01 16:55:00
204,86.8330725129,74.9802461246,80.611800217,2014-04-01 17:00:00
205,76.19913981090001,78.452928082,82.0767862061,2014-04-01 17:05:00
206,75.7194755672,79.5327600984,81.5472322569,2014-04-01 17:10:00
207,76.762602618,86.3257515365,82.65313248609999,2014-04-01 17:15:00
208,79.0609474388,80.9590159363,75.19406150420002,2014-04-01 17:20:00
209,77.02664902640001,76.6748665475,76.2992766217,2014-04-01 17:25:00
